itrial,d,method,coverage,width
0,1,naive,0.87,3.294613959011656
0,1,jackknife,0.87,3.2950800450466557
0,1,jackknife+,0.87,3.2950510327321383
0,1,jackknife-mm,0.87,3.296181344228521
0,1,CV+,0.87,3.296417867111391
0,1,split,0.88,3.3058530563200303
1,1,naive,0.91,3.2695682829973887
1,1,jackknife,0.91,3.2695683308566332
1,1,jackknife+,0.91,3.2695678394594303
1,1,jackknife-mm,0.91,3.2710837907726136
1,1,CV+,0.91,3.269159877660075
1,1,split,0.91,3.2721143576554357
2,1,naive,0.89,3.2957687347836484
2,1,jackknife,0.89,3.29674078286994
2,1,jackknife+,0.89,3.2967501256912497
2,1,jackknife-mm,0.89,3.2980294368456198
2,1,CV+,0.89,3.2978145376957606
2,1,split,0.89,3.2793603288459314
3,1,naive,0.94,3.2874314531226254
3,1,jackknife,0.94,3.2876402630311214
3,1,jackknife+,0.94,3.2877523866276444
3,1,jackknife-mm,0.94,3.2888302189055327
3,1,CV+,0.94,3.2889660526346023
3,1,split,0.94,3.2336000680255426
4,1,naive,0.88,3.304457987399309
4,1,jackknife,0.88,3.304475832454663
4,1,jackknife+,0.88,3.304475832454663
4,1,jackknife-mm,0.88,3.3055975525795933
4,1,CV+,0.88,3.303553629927248
4,1,split,0.87,3.270085416626746
5,1,naive,0.9,3.3165984270135915
5,1,jackknife,0.9,3.316884189603618
5,1,jackknife+,0.9,3.3167473640290415
5,1,jackknife-mm,0.9,3.3179510120599973
5,1,CV+,0.9,3.3163385101685954
5,1,split,0.9,3.344119466415126
6,1,naive,0.91,3.28222889296217
6,1,jackknife,0.91,3.2824474265918924
6,1,jackknife+,0.91,3.282475516893146
6,1,jackknife-mm,0.91,3.283930608126047
6,1,CV+,0.91,3.281337361044061
6,1,split,0.91,3.294965940169752
7,1,naive,0.92,3.2955231858087277
7,1,jackknife,0.92,3.2955283760413154
7,1,jackknife+,0.92,3.29552704882689
7,1,jackknife-mm,0.92,3.29657591307341
7,1,CV+,0.92,3.293137370964055
7,1,split,0.92,3.2911364928463978
8,1,naive,0.93,3.3131916449243652
8,1,jackknife,0.93,3.3132831293603924
8,1,jackknife+,0.93,3.3133479320071944
8,1,jackknife-mm,0.93,3.3143756223199357
8,1,CV+,0.93,3.3142976119083625
8,1,split,0.93,3.3718351942910294
9,1,naive,0.82,3.267079673752853
9,1,jackknife,0.82,3.268020174003916
9,1,jackknife+,0.82,3.2679562557190747
9,1,jackknife-mm,0.82,3.269230928718674
9,1,CV+,0.82,3.266284162187361
9,1,split,0.82,3.2920474783190925
10,1,naive,0.88,3.242277341611695
10,1,jackknife,0.88,3.2426838827057787
10,1,jackknife+,0.88,3.2425971106959617
10,1,jackknife-mm,0.88,3.243786605699412
10,1,CV+,0.88,3.2432440783687086
10,1,split,0.88,3.2332978940531247
11,1,naive,0.89,3.2311077328301256
11,1,jackknife,0.89,3.2313129685501893
11,1,jackknife+,0.89,3.2313129685501893
11,1,jackknife-mm,0.89,3.232408584384467
11,1,CV+,0.89,3.231587770175853
11,1,split,0.89,3.2669497644953776
12,1,naive,0.84,3.270529625489512
12,1,jackknife,0.84,3.2708094394937643
12,1,jackknife+,0.84,3.2708162606153905
12,1,jackknife-mm,0.84,3.272003416922319
12,1,CV+,0.84,3.272426615334902
12,1,split,0.84,3.2461087613919846
13,1,naive,0.91,3.2702075449299177
13,1,jackknife,0.91,3.2703437791580656
13,1,jackknife+,0.91,3.2703089811596624
13,1,jackknife-mm,0.91,3.271718464037823
13,1,CV+,0.91,3.2684963981814628
